code,name,province,city,area,town
110101001000,东华门街道,11,01,01,001000
110101002000,景山街道,11,01,01,002000
110101003000,交道口街道,11,01,01,003000
110101004000,安定门街道,11,01,01,004000
110101005000,北新桥街道,11,01,01,005000
110101006000,东四街道,11,01,01,006000
110101007000,朝阳门街道,11,01,01,007000
110101008000,建国门街道,11,01,01,008000
110101009000,东直门街道,11,01,01,009000
110101010000,和平里街道,11,01,01,010000
110101011000,前门街道,11,01,01,011000
110101012000,崇文门外街道,11,01,01,012000
110101013000,东花市街道,11,01,01,013000
110101014000,龙潭街道,11,01,01,014000
110101015000,体育馆路街道,11,01,01,015000
110101016000,天坛街道,11,01,01,016000
110101017000,永定门外街道,11,01,01,017000